"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3,0,-180,-22.6124718018612
3,0,-175,-22.4856783221412
3,0,-170,-22.3141527316079
3,0,-165,-22.1213024508323
3,0,-160,-21.9324679710924
3,0,-155,-21.7690656211538
3,0,-150,-21.6445889119845
3,0,-145,-21.5622929266983
3,0,-140,-21.514006335225
3,0,-135,-21.4799628877845
3,0,-130,-21.430338260797
3,0,-125,-21.3296885118084
3,0,-120,-21.1448091073947
3,0,-115,-20.8541437092067
3,0,-110,-20.4542838589436
3,0,-105,-19.9596353697995
3,0,-100,-19.3956849390391
3,0,-95,-18.7902476398751
3,0,-90,-18.1669444893222
3,0,-85,-17.5423704973012
3,0,-80,-16.926181134564
3,0,-75,-16.3227173303438
3,0,-70,-15.7331051822572
3,0,-65,-15.1572244417187
3,0,-60,-14.5952488198095
3,0,-55,-14.0486338770411
3,0,-50,-13.5205411326275
3,0,-45,-13.0157790080113
3,0,-40,-12.5404079999647
3,0,-35,-12.1011818383762
3,0,-30,-11.7049751734193
3,0,-25,-11.3582978876775
3,0,-20,-11.0669403076306
3,0,-15,-10.8357499936626
3,0,-10,-10.6685154886848
3,0,-5,-10.5679228773027
3,0,0,-10.5355516633786
3,0,5,-10.5718825663726
3,0,10,-10.6762987670122
3,0,15,-10.8470730838933
3,0,20,-11.0813465361172
3,0,25,-11.3751185113529
3,0,30,-11.723283759236
3,0,35,-12.1197627118076
3,0,40,-12.5577723193237
3,0,45,-13.0302661735823
3,0,50,-13.5305294991551
3,0,55,-14.0528509790914
3,0,60,-14.5931290424155
3,0,65,-15.1492358185158
3,0,70,-15.7209814871465
3,0,75,-16.3095921654956
3,0,80,-16.9167026260111
3,0,85,-17.5429322070531
3,0,90,-18.1861506012436
3,0,95,-18.8395958956041
3,0,100,-19.4901713559289
3,0,105,-20.117597754554
3,0,110,-20.6955474090494
3,0,115,-21.1959468302217
3,0,120,-21.5964581381925
3,0,125,-21.8885625889799
3,0,130,-22.0816818678504
3,0,135,-22.200328448333
3,0,140,-22.2757846070462
3,0,145,-22.3367897355519
3,0,150,-22.4028045951357
3,0,155,-22.4808384647662
3,0,160,-22.5653210509711
3,0,165,-22.6404907714189
3,0,170,-22.6851797073754
3,0,175,-22.6795987771255
3,0,180,-22.6124718018612
