"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
9,90,-180,-12.8313401096586
9,90,-175,-13.6300530096391
9,90,-170,-14.4719235756664
9,90,-165,-14.7033271287892
9,90,-160,-14.577707755065
9,90,-155,-14.4149762815958
9,90,-150,-13.7571712535443
9,90,-145,-12.2487683393986
9,90,-140,-10.6166647711112
9,90,-135,-9.61182602289275
9,90,-130,-9.31379115582305
9,90,-125,-9.37435645959601
9,90,-120,-9.41872430644259
9,90,-115,-9.31905512527218
9,90,-110,-9.26143042656462
9,90,-105,-9.38219898975287
9,90,-100,-9.30938252222429
9,90,-95,-8.81759008409908
9,90,-90,-8.57794379453968
9,90,-85,-9.32866496436805
9,90,-80,-11.4068604001985
9,90,-75,-14.8001628359065
9,90,-70,-19.0162400666732
9,90,-65,-23.1000413961488
9,90,-60,-20.2214308631292
9,90,-55,-13.862669470108
9,90,-50,-9.18162305224238
9,90,-45,-5.67390820813085
9,90,-40,-2.94934858522108
9,90,-35,-0.84068671491066
9,90,-30,0.673546264802362
9,90,-25,1.47445357437347
9,90,-20,1.38300253122995
9,90,-15,0.200723152707599
9,90,-10,-2.39274461026842
9,90,-5,-7.10128737803451
9,90,0,-12.6988636358147
9,90,5,-8.32228033414773
9,90,10,-4.53518903841848
9,90,15,-2.82971554326663
9,90,20,-2.52674176353145
9,90,25,-3.42168318142685
9,90,30,-5.41358394935305
9,90,35,-7.82243808096863
9,90,40,-9.00396009753029
9,90,45,-9.18224547713515
9,90,50,-9.83651869455859
9,90,55,-11.0291047149582
9,90,60,-12.581977706403
9,90,65,-15.5537227949862
9,90,70,-20.5977703336184
9,90,75,-15.9334494197623
9,90,80,-11.0902346274198
9,90,85,-9.13913683053603
9,90,90,-9.3393670303225
9,90,95,-11.6945546714348
9,90,100,-17.3568926580763
9,90,105,-28.7301678845638
9,90,110,-17.7229079554797
9,90,115,-13.299298969597
9,90,120,-11.4912829487169
9,90,125,-11.1319877432157
9,90,130,-11.5434377782254
9,90,135,-11.8674162899606
9,90,140,-11.7777263699224
9,90,145,-11.8388345255193
9,90,150,-12.8091054230698
9,90,155,-15.8975504322205
9,90,160,-25.4455328520389
9,90,165,-22.1213099138282
9,90,170,-15.1455858557854
9,90,175,-12.990081393182
9,90,180,-12.8313401096586
