"Freq [GHz]","dB(S(1,1)) []"
4,-0.876867086056533
4.02,-0.873835561353937
4.04,-0.872009925974124
4.06,-0.871349973175525
4.08,-0.871815034022946
4.1,-0.87336413783249
4.12,-0.875956166909343
4.14,-0.879550005020108
4.16,-0.884104679153138
4.18,-0.889579494229687
4.2,-0.895934160534599
4.22,-0.90312891373662
4.24,-0.911124627464475
4.26,-0.919882918494999
4.28,-0.929366244693647
4.3,-0.939537995925271
4.32,-0.950362578224122
4.34,-0.961805491577163
4.36,-0.973833401733653
4.38,-0.986414206507453
4.4,-0.999517097087015
4.42,-1.01311261491203
4.44,-1.02717270471588
4.46,-1.0416707643705
4.48,-1.0565816922048
4.5,-1.07188193250172
4.52,-1.08754951991133
4.54,-1.10356412355071
4.56,-1.11990709159518
4.58,-1.13656149720184
4.6,-1.15351218664514
4.62,-1.17074583058773
4.64,-1.18825097945778
4.66,-1.20601812395876
4.68,-1.22403976179994
4.7,-1.24231047180705
4.72,-1.26082699665497
4.74,-1.27958833555891
4.76,-1.2985958483704
4.78,-1.31785337265142
4.8,-1.33736735544768
4.82,-1.35714700165304
4.84,-1.3772044410571
4.86,-1.39755491639973
4.88,-1.4182169950277
4.9,-1.43921280706524
4.92,-1.46056831338057
4.94,-1.48231360706473
4.96,-1.50448325264805
4.98,-1.52711666787782
5,-1.55025855358418
5.02,-1.57395937799046
5.04,-1.59827592280143
5.06,-1.62327189955797
5.08,-1.64901864611196
5.1,-1.67559591469285
5.12,-1.70309276495502
5.14,-1.73160857767338
5.16,-1.76125420746441
5.18,-1.79215329613849
5.2,-1.82444377214259
5.22,-1.85827956616021
5.24,-1.89383257845442
5.26,-1.93129494016618
5.28,-1.97088161875048
5.3,-2.01283342734404
5.32,-2.0574205094742
5.34,-2.10494638459436
5.36,-2.15575265703232
5.38,-2.21022451177465
5.4,-2.26879714597547
5.42,-2.331963316302
5.44,-2.40028222065156
5.46,-2.47438998024251
5.48,-2.55501204698592
5.5,-2.64297793451574
5.52,-2.73923876344294
5.54,-2.84488822788953
5.56,-2.96118773880628
5.58,-3.08959669068623
5.6,-3.23180904735159
5.62,-3.38979777190871
5.64,-3.5658690693245
5.66,-3.7627290190179
5.68,-3.98356603067409
5.7,-4.23215379007768
5.72,-4.51298118844994
5.74,-4.83141850999706
5.76,-5.19393350690745
5.78,-5.6083779995414
5.8,-6.08437722945311
5.82,-6.63387388086335
5.84,-7.27191304803471
5.86,-8.01781606683382
5.88,-8.89700469864795
5.9,-9.9439508353445
5.92,-11.2071279707782
5.94,-12.7575232746873
5.96,-14.7027511753051
5.98,-17.2022572392063
6,-20.3949515165562
6.02,-23.4385109676357
6.04,-22.6500701116226
6.06,-19.2873017765893
6.08,-16.3273959075201
6.1,-14.0369859349242
6.12,-12.2425774968656
6.14,-10.8022773037812
6.16,-9.62243487161329
6.18,-8.64073080530715
6.2,-7.81406299590661
6.22,-7.1114220867306
6.24,-6.50972496556126
6.26,-5.99130218206729
6.28,-5.54232275483988
6.3,-5.15176693595119
6.32,-4.81073075344356
6.34,-4.51193874240717
6.36,-4.24939196527565
6.38,-4.01810694917066
6.4,-3.81391767463751
6.42,-3.63332256614777
6.44,-3.47336443314882
6.46,-3.33153507774538
6.48,-3.2056987175023
6.5,-3.09402998641458
6.52,-2.9949633782486
6.54,-2.90715176716526
6.56,-2.82943219305126
6.58,-2.76079750371828
6.6,-2.70037274826895
6.62,-2.6473954451677
6.64,-2.60119902488385
6.66,-2.56119888417111
6.68,-2.52688059682402
6.7,-2.497789911101
6.72,-2.47352423205086
6.74,-2.45372534155107
6.76,-2.43807315285212
6.78,-2.42628033203664
6.8,-2.41808764775873
6.82,-2.41325993426152
6.84,-2.41158257203081
6.86,-2.41285840636052
6.88,-2.41690503724022
6.9,-2.42355242485616
6.92,-2.43264076404813
6.94,-2.44401858862616
6.96,-2.45754107280204
6.98,-2.47306850235384
7,-2.49046489270136
7.02,-2.50959673497703
7.04,-2.53033185455134
7.06,-2.5525383694174
7.08,-2.57608373843666
7.1,-2.6008338917653
7.12,-2.62665243787313
7.14,-2.65339994347683
7.16,-2.68093328447129
7.18,-2.70910506758027
7.2,-2.73776312397723
7.22,-2.76675007755527
7.24,-2.79590299185272
7.26,-2.82505310085641
7.28,-2.85402562999385
7.3,-2.88263971456043
7.32,-2.9107084235766
7.34,-2.93803889759186
7.36,-2.96443260920059
7.38,-2.98968575495751
7.4,-3.01358978692523
7.42,-3.03593209119864
7.44,-3.05649681938361
7.46,-3.07506587712085
7.48,-3.09142007131581
7.5,-3.10534041475679
