"Freq [GHz]","dB(VSWR(1)) []"
4,25.9455831621612
4.02,25.9756133860813
4.04,25.9937485665155
4.06,26.0003136674245
4.08,25.9956868004342
4.1,25.9802926879341
4.12,25.9545957472099
4.14,25.9190929858912
4.16,25.874306888096
4.18,25.8207784533162
4.2,25.7590605280205
4.22,25.6897115449274
4.24,25.6132897586128
4.26,25.5303480400628
4.28,25.4414292681986
4.3,25.3470623341913
4.32,25.2477587551743
4.34,25.1440098780561
4.36,25.0362846416164
4.38,24.9250278558075
4.4,24.8106589509118
4.42,24.6935711455694
4.44,24.5741309812721
4.46,24.4526781713093
4.48,24.3295257139329
4.5,24.2049602223147
4.52,24.0792424273689
4.54,23.952607813431
4.56,23.825267350888
4.58,23.697408293972
4.6,23.56919501592
4.62,23.4407698574758
4.64,23.3122539681934
4.66,23.1837481231692
4.68,23.055333500654
4.7,22.9270724084834
4.72,22.7990089494206
4.74,22.6711696173557
4.76,22.5435638178613
4.78,22.4161843079088
4.8,22.2890075506166
4.82,22.1619939817672
4.84,22.03508818552
4.86,21.9082189772841
4.88,21.7812993921287
4.9,21.6542265774185
4.92,21.5268815885861
4.94,21.3991290871178
4.96,21.2708169399451
4.98,21.1417757195236
5,21.0118181039595
5.02,20.880738176623
5.04,20.7483106247984
5.06,20.6142898370601
5.08,20.4784088992792
5.1,20.3403784894537
5.12,20.1998856719645
5.14,20.0565925924125
5.16,19.9101350749248
5.18,19.7601211247836
5.2,19.6061293404805
5.22,19.4477072408925
5.24,19.2843695153013
5.26,19.1155962065195
5.28,18.9408308405591
5.3,18.7594785202126
5.32,18.5709040047668
5.34,18.3744298040206
5.36,18.1693343220482
5.38,17.9548500949904
5.4,17.7301621778707
5.42,17.4944067483744
5.44,17.2466700110994
5.46,16.9859875044678
5.48,16.7113439348174
5.5,16.4216736887873
5.52,16.1158622066522
5.54,15.7927484364788
5.56,15.4511286326111
5.58,15.0897618127388
5.6,14.7073772461893
5.62,14.3026844123242
5.64,13.8743859416827
5.66,13.4211941326497
5.68,12.9418517207376
5.7,12.4351576627487
5.72,11.8999987803833
5.74,11.3353881854053
5.76,10.7405114874555
5.78,10.1147818950141
5.8,9.45790554507577
5.82,8.76995895480565
5.84,8.05148190215022
5.86,7.30359256625994
5.88,6.52814048666983
5.9,5.7279349389068
5.92,4.90714488531561
5.94,4.07213636809261
5.96,3.23357078905989
5.98,2.41274523301074
6,1.66503663202744
6.02,1.17105126261077
6.04,1.28271176241452
6.06,1.89318827497517
6.08,2.6722760630921
6.1,3.49791700795992
6.12,4.33096966663574
6.14,5.15492271529745
6.16,5.96093625986698
6.18,6.74351619418186
6.2,7.4989848361761
6.22,8.22483117817162
6.24,8.91938107852401
6.26,9.58159887690434
6.28,10.2109500525345
6.3,10.807296627064
6.32,11.370813182661
6.34,11.9019178535656
6.36,12.4012152990961
6.38,12.8694497536435
6.4,13.3074667061024
6.42,13.7161819758497
6.44,14.0965570838297
6.46,14.4495799261818
6.48,14.7762498634455
6.5,15.0775664437813
6.52,15.3545210816027
6.54,15.6080911104672
6.56,15.8392357186208
6.58,16.0488933559292
6.6,16.2379802716233
6.62,16.4073899035851
6.64,16.5579928924334
6.66,16.6906375382808
6.68,16.8061505556413
6.7,16.9053380134652
6.72,16.9889863735023
6.74,17.0578635618942
6.76,17.1127200267227
6.78,17.1542897487725
6.8,17.1832911844731
6.82,17.2004281293046
6.84,17.2063904972242
6.86,17.2018550172203
6.88,17.1874858521881
6.9,17.1639351481833
6.92,17.131843523953
6.94,17.09184051165
6.96,17.044544959964
6.98,16.9905654106911
7,16.9305004591414
7.02,16.8649391078437
7.04,16.7944611218602
7.06,16.7196373927242
7.08,16.6410303166439
7.1,16.5591941912203
7.12,16.4746756335441
7.14,16.3880140212086
7.16,16.2997419565182
7.18,16.2103857530125
7.2,16.1204659423696
7.22,16.0304977988213
7.24,15.9409918774039
7.26,15.8524545617016
7.28,15.7653886162138
7.3,15.6802937381095
7.32,15.5976671029291
7.34,15.5180038987742
7.36,15.4417978436996
7.38,15.3695416814146
7.4,15.3017276510289
7.42,15.2388479274619
7.44,15.1813950302995
7.46,15.1298622003418
7.48,15.0847437448607
7.5,15.0465353546824
