"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
9,0,-180,-10.3246960467766
9,0,-175,-13.0702676079214
9,0,-170,-7.98421426767495
9,0,-165,-5.08744287612204
9,0,-160,-3.88294616226318
9,0,-155,-3.74936696695976
9,0,-150,-4.40133488908647
9,0,-145,-5.48424614154324
9,0,-140,-6.15093081491788
9,0,-135,-5.60671969417084
9,0,-130,-4.35590647521494
9,0,-125,-3.20087122139475
9,0,-120,-2.40409042462409
9,0,-115,-1.93038324002901
9,0,-110,-1.64961193176649
9,0,-105,-1.41619710435843
9,0,-100,-1.12729822093648
9,0,-95,-0.760079386943336
9,0,-90,-0.353645621235734
9,0,-85,0.055588584022413
9,0,-80,0.489644102711926
9,0,-75,1.01450510442659
9,0,-70,1.64622813164572
9,0,-65,2.28565321442879
9,0,-60,2.78201747689436
9,0,-55,3.04726586537829
9,0,-50,3.11623696399191
9,0,-45,3.13230891912959
9,0,-40,3.24558908439082
9,0,-35,3.46623437714393
9,0,-30,3.62840922651134
9,0,-25,3.48791680628484
9,0,-20,2.79203093954699
9,0,-15,1.24433888721998
9,0,-10,-1.63506396108952
9,0,-5,-6.56497031878483
9,0,0,-8.07859929945347
9,0,5,-2.54879797715858
9,0,10,1.10649653039621
9,0,15,3.21895578888453
9,0,20,4.34733037077912
9,0,25,4.78625988978627
9,0,30,4.7370993828777
9,0,35,4.3929169747929
9,0,40,3.95726447331499
9,0,45,3.58789775457361
9,0,50,3.31528586647166
9,0,55,3.04889323496311
9,0,60,2.67625761363255
9,0,65,2.15328926357513
9,0,70,1.53673226642806
9,0,75,0.949303021148409
9,0,80,0.473486331751005
9,0,85,0.0617206702847202
9,0,90,-0.41928512145788
9,0,95,-1.07135646834814
9,0,100,-1.90081183896479
9,0,105,-2.83055210850051
9,0,110,-3.76714218329869
9,0,115,-4.67506239820455
9,0,120,-5.56279616648566
9,0,125,-6.33381226139917
9,0,130,-6.61439267423572
9,0,135,-5.96971765331802
9,0,140,-4.54471175598385
9,0,145,-2.9150825889206
9,0,150,-1.49808631253495
9,0,155,-0.504474723151166
9,0,160,-0.092197819329023
9,0,165,-0.456773067242274
9,0,170,-1.887669954897
9,0,175,-4.88756626572392
9,0,180,-10.3246960467766
