"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
6,90,-180,-13.017703053588
6,90,-175,-13.9605888960889
6,90,-170,-13.2847931258548
6,90,-165,-12.0094630375161
6,90,-160,-10.9219402384511
6,90,-155,-10.1805346372506
6,90,-150,-9.73529161045251
6,90,-145,-9.51692531028546
6,90,-140,-9.4736751711269
6,90,-135,-9.54504450182112
6,90,-130,-9.6185884953138
6,90,-125,-9.52039399504581
6,90,-120,-9.08890259040911
6,90,-115,-8.2929556850956
6,90,-110,-7.24621174045955
6,90,-105,-6.1023618492697
6,90,-100,-4.97175505750141
6,90,-95,-3.90906635052053
6,90,-90,-2.93094780003597
6,90,-85,-2.03323784223939
6,90,-80,-1.20165767920491
6,90,-75,-0.41837111504272
6,90,-70,0.332777884013391
6,90,-65,1.06138302380223
6,90,-60,1.76710833100129
6,90,-55,2.43969677970358
6,90,-50,3.06264650148235
6,90,-45,3.61852536545272
6,90,-40,4.09317161095219
6,90,-35,4.47727347193902
6,90,-30,4.7655522793974
6,90,-25,4.95473885296323
6,90,-20,5.04157024544965
6,90,-15,5.02157395512379
6,90,-10,4.88890588315643
6,90,-5,4.6372124826904
6,90,0,4.2613924681003
6,90,5,3.7600746664806
6,90,10,3.13844898048733
6,90,15,2.4107749972497
6,90,20,1.60161393658496
6,90,25,0.744827067513984
6,90,30,-0.120276499802005
6,90,35,-0.955802436295344
6,90,40,-1.73453815048789
6,90,45,-2.4487213611634
6,90,50,-3.11211479711716
6,90,55,-3.75019168945014
6,90,60,-4.38142930069091
6,90,65,-5.00097018253969
6,90,70,-5.57861621912422
6,90,75,-6.07564773639305
6,90,80,-6.47044584137488
6,90,85,-6.77128762049071
6,90,90,-7.00494695156953
6,90,95,-7.19389929176366
6,90,100,-7.34146430567393
6,90,105,-7.43138310819144
6,90,110,-7.43738059733305
6,90,115,-7.33618477226304
6,90,120,-7.11918114365576
6,90,125,-6.79968605408291
6,90,130,-6.41434857279457
6,90,135,-6.01911649948841
6,90,140,-5.68223323999265
6,90,145,-5.47743479064693
6,90,150,-5.47946942513974
6,90,155,-5.7624435051916
6,90,160,-6.40007877218183
6,90,165,-7.46448824278986
6,90,170,-9.01087782045666
6,90,175,-10.999524944567
6,90,180,-13.017703053588
