"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
6,0,-180,-17.6695995124137
6,0,-175,-16.7319763184546
6,0,-170,-15.6928759801522
6,0,-165,-14.9517665207624
6,0,-160,-14.6063184828856
6,0,-155,-14.6570388909718
6,0,-150,-15.0752666424536
6,0,-145,-15.8104351599539
6,0,-140,-16.7757600785708
6,0,-135,-17.8294187871536
6,0,-130,-18.7742947188328
6,0,-125,-19.4051624540148
6,0,-120,-19.5848649820291
6,0,-115,-19.2685561288589
6,0,-110,-18.4681099717633
6,0,-105,-17.2387506032763
6,0,-100,-15.6894354398349
6,0,-95,-13.961121862924
6,0,-90,-12.1829671380299
6,0,-85,-10.4460300340481
6,0,-80,-8.79968265627213
6,0,-75,-7.25751729784223
6,0,-70,-5.80591804160765
6,0,-65,-4.41630711505149
6,0,-60,-3.06231944866301
6,0,-55,-1.73677213865685
6,0,-50,-0.458342372061185
6,0,-45,0.736370990256927
6,0,-40,1.80816558355986
6,0,-35,2.72738542941936
6,0,-30,3.47846796380515
6,0,-25,4.05853775411695
6,0,-20,4.47339290181249
6,0,-15,4.73339811358402
6,0,-10,4.8505846246615
6,0,-5,4.83727757942281
6,0,0,4.70583670910249
6,0,5,4.46868617673321
6,0,10,4.13784682628002
6,0,15,3.72364390369834
6,0,20,3.23294181378548
6,0,25,2.66783708762926
6,0,30,2.02587250191914
6,0,35,1.30230875793983
6,0,40,0.493935222429468
6,0,45,-0.397242332890911
6,0,50,-1.36281441660552
6,0,55,-2.39134638937764
6,0,60,-3.47632723198763
6,0,65,-4.62517171873499
6,0,70,-5.86370408995573
6,0,75,-7.23326158687687
6,0,80,-8.78321043861134
6,0,85,-10.5647375418782
6,0,90,-12.6310350329768
6,0,95,-15.0477860876912
6,0,100,-17.9101598729279
6,0,105,-21.2594453248061
6,0,110,-24.0291529367298
6,0,115,-22.7708200311316
6,0,120,-19.2535338654626
6,0,125,-16.1948437859094
6,0,130,-13.9004045650344
6,0,135,-12.2872702778758
6,0,140,-11.2845019995762
6,0,145,-10.8532549698652
6,0,150,-10.9759242679932
6,0,155,-11.6455924802915
6,0,160,-12.8490988185045
6,0,165,-14.5166564138675
6,0,170,-16.3686468722001
6,0,175,-17.6715966204948
6,0,180,-17.6695995124137
