"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
6,90,-180,-17.6695995124137
6,90,-175,-16.0166017379166
6,90,-170,-13.6855376099649
6,90,-165,-11.8997383259561
6,90,-160,-10.7017599961986
6,90,-155,-9.93543987900365
6,90,-150,-9.45338928351032
6,90,-145,-9.14746486514758
6,90,-140,-8.94449939297523
6,90,-135,-8.78480785752528
6,90,-130,-8.60015735087701
6,90,-125,-8.31282107942531
6,90,-120,-7.86141347670658
6,90,-115,-7.23079421008503
6,90,-110,-6.45513480100858
6,90,-105,-5.59317328161131
6,90,-100,-4.70102540073235
6,90,-95,-3.81878134053814
6,90,-90,-2.96883389794922
6,90,-85,-2.15885400763872
6,90,-80,-1.38551324272527
6,90,-75,-0.638454620485695
6,90,-70,0.0946544233539074
6,90,-65,0.821946527537475
6,90,-60,1.5420350849265
6,90,-55,2.24251440915699
6,90,-50,2.90337981383811
6,90,-45,3.50319454173904
6,90,-40,4.02444249154883
6,90,-35,4.45589444070726
6,90,-30,4.79203633810723
6,90,-25,5.03087578374571
6,90,-20,5.17153218549207
6,90,-15,5.21251037083929
6,90,-10,5.15100670510895
6,90,-5,4.98326098093393
6,90,0,4.70583670910249
6,90,5,4.31762738597014
6,90,10,3.82220942096699
6,90,15,3.22990626732715
6,90,20,2.55875723329982
6,90,25,1.83368437189132
6,90,30,1.08352144197975
6,90,35,0.335977045977306
6,90,40,-0.388909559628106
6,90,45,-1.08492098003055
6,90,50,-1.76136668262616
6,90,55,-2.4363066451462
6,90,60,-3.12214866293922
6,90,65,-3.81121869404024
6,90,70,-4.47207404202808
6,90,75,-5.0638193744382
6,90,80,-5.56285252758703
6,90,85,-5.98077716957392
6,90,90,-6.35631732876643
6,90,95,-6.72980872872156
6,90,100,-7.12176819585761
6,90,105,-7.52568626427593
6,90,110,-7.9124081821113
6,90,115,-8.24093145672625
6,90,120,-8.47248261202047
6,90,125,-8.58543208005734
6,90,130,-8.58716541336557
6,90,135,-8.5185106480292
6,90,140,-8.44963414468059
6,90,145,-8.47115790388869
6,90,150,-8.68595358214522
6,90,155,-9.20539795800573
6,90,160,-10.1511949083822
6,90,165,-11.6577221573193
6,90,170,-13.8345875335482
6,90,175,-16.4352930950481
6,90,180,-17.6695995124137
