"Freq [GHz]","dB(S(1,1)) []"
4,-0.973319483842667
4.02,-0.970525379296944
4.04,-0.968893518697231
4.06,-0.968390816359584
4.08,-0.968984024338181
4.1,-0.970639854929716
4.12,-0.973325096269671
4.14,-0.977006720652901
4.16,-0.98165198530011
4.18,-0.987228525377641
4.2,-0.993704439160039
4.22,-1.00104836530271
4.24,-1.00922955226546
4.26,-1.01821791999642
4.28,-1.02798411405072
4.3,-1.03849955237809
4.32,-1.0497364650703
4.34,-1.06166792741204
4.36,-1.07426788662882
4.38,-1.08751118277299
4.4,-1.10137356423432
4.42,-1.11583169840655
4.44,-1.13086317808465
4.46,-1.14644652421202
4.48,-1.16256118564142
4.5,-1.17918753661969
4.52,-1.19630687275469
4.54,-1.21390140627374
4.56,-1.23195426143698
4.58,-1.2504494710268
4.6,-1.26937197489696
4.62,-1.28870762163132
4.64,-1.30844317443475
4.66,-1.32856632245603
4.68,-1.34906569882693
4.7,-1.36993090679216
4.72,-1.39115255540328
4.74,-1.41272230635612
4.76,-1.43463293366705
4.78,-1.45687839800989
4.8,-1.47945393767376
4.82,-1.50235617825533
4.84,-1.52558326336881
4.86,-1.54913500884753
4.88,-1.5730130831266
4.9,-1.59722121674135
4.92,-1.62176544415945
4.94,-1.64665438149263
4.96,-1.67189954401813
4.98,-1.69751570789279
5,-1.72352132097943
5.02,-1.74993896834496
5.04,-1.77679589875479
5.06,-1.80412461940703
5.08,-1.83196356725414
5.1,-1.86035786659193
5.12,-1.8893601842013
5.14,-1.91903169526775
5.16,-1.94944317564713
5.18,-1.98067623887863
5.2,-2.01282473977261
5.22,-2.04599637054815
5.24,-2.08031448051826
5.26,-2.1159201564105
5.28,-2.15297460780214
5.3,-2.19166191113243
5.32,-2.23219217668955
5.34,-2.27480521630566
5.36,-2.31977480579008
5.38,-2.36741365608914
5.4,-2.41807923166789
5.42,-2.47218058477659
5.44,-2.53018641151354
5.46,-2.59263458172777
5.48,-2.66014345213807
5.5,-2.73342534356708
5.52,-2.81330265279458
5.54,-2.90072718234975
5.56,-2.99680341442762
5.58,-3.10281663731181
5.6,-3.22026706706622
5.62,-3.35091141204799
5.64,-3.49681372956172
5.66,-3.66040796261864
5.68,-3.84457528210244
5.7,-4.05274039446485
5.72,-4.28899247001483
5.74,-4.55823857717473
5.76,-4.86640095172398
5.78,-5.2206749375353
5.8,-5.62987355751057
5.82,-6.10490031386946
5.84,-6.65941957912918
5.86,-7.31084504068819
5.88,-8.08186459180193
5.9,-9.00291676664149
5.92,-10.1164518396433
5.94,-11.4847607947673
5.96,-13.205483173606
5.98,-15.4449700960723
6,-18.5138993388711
6.02,-22.9675266174589
6.04,-27.3575905767485
6.06,-23.4308769715194
6.08,-18.8785464144915
6.1,-15.7537568380747
6.12,-13.4906818402187
6.14,-11.7611207816117
6.16,-10.3903919708347
6.18,-9.27681064070156
6.2,-8.35605801088638
6.22,-7.58469661127187
6.24,-6.93187653692239
6.26,-6.37482826460393
6.28,-5.89624449599662
6.3,-5.48266922007387
6.32,-5.12345582598027
6.34,-4.81006362857405
6.36,-4.53556514210041
6.38,-4.29429017243661
6.4,-4.08156210083772
6.42,-3.89349835777105
6.44,-3.7268568729855
6.46,-3.5789162555995
6.48,-3.44738122095144
6.5,-3.33030723095963
6.52,-3.22603995851913
6.54,-3.13316632011361
6.56,-3.05047462217709
6.58,-2.97692194558119
6.6,-2.91160731858924
6.62,-2.85374954708206
6.64,-2.80266881215635
6.66,-2.75777133009508
6.68,-2.71853651275223
6.7,-2.68450617796307
6.72,-2.65527544722779
6.74,-2.63048503718144
6.76,-2.60981470641247
6.78,-2.59297766316205
6.8,-2.57971577471975
6.82,-2.56979544776789
6.84,-2.56300407193969
6.86,-2.55914693755565
6.88,-2.5580445537577
6.9,-2.55953030575588
6.92,-2.56344840017982
6.94,-2.56965205601809
6.96,-2.57800190567555
6.98,-2.58836457655917
7,-2.6006114285364
7.02,-2.61461742677763
7.04,-2.63026013303931
7.06,-2.64741880148488
7.08,-2.66597356777254
7.1,-2.6858047224387
7.12,-2.70679206163712
7.14,-2.72881431010582
7.16,-2.75174861286583
7.18,-2.77547009363923
7.2,-2.79985147932846
7.22,-2.82476279114065
7.24,-2.85007110407457
7.26,-2.87564037751595
7.28,-2.90133136060018
7.3,-2.92700157678883
7.32,-2.9525053927471
7.34,-2.97769417707897
7.36,-3.00241655474463
7.38,-3.02651876301673
7.4,-3.04984511459088
7.42,-3.07223857291248
7.44,-3.09354144388147
7.46,-3.11359618681392
7.48,-3.13224634585148
7.5,-3.14933760090152
